ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UCTTd36Ax1nbOKDUdYEr3kVw,감쟈,202648,809,112
UC8-jzEbtw6obihdKAvPbo_A,갑프로,22508526,17500,8918
UCt_rTwePfSoKsQU5FCKToWA,강아지 집사♡,1269397,2570,145
UCxqdvBUxcUEnzIgTGLu2Mlw,강이와산이 (Gang&San:江山),3084816,12700,5315
UCP5-B5XQUDNZxHzvc25zHRQ,개또먹 - 맛집투어,819665,794,70
UCClSq3MaH0C1hlmFCr5yAPQ,개성파 삼남매 (출산장려유튜브),363957606,192000,2202
UCJr7WAWmvmkUXdTotxMiZHg,개세마리 캠핑 GaeSe Camping,160486,2490,187
UCvdXMXCh_w-7aB8C0dDyNCg,갸린이KIA,3547,16,62
UC0xOYr8mbtgtR9fBsxzkx_Q,건강발견소,603321,1120,293
UCUC5lTC__yyekAWXws4L7Rg,건붕이,1533301,3900,431
UCmqAZlsl0sdPWselGBnPDeg,검냥이네 여행이야기 Blackcatgo,22834,80,109
UCv-Pi6x1cytBLUu-cekcztg,게으른새,54658,41,38
UCNnfWT7ZchVmvdwf8P94-Yw,겜트,92253,448,233
UCTXlPPgkj1kI10vi9G5YW_Q,겸상도,25143749,22600,151
UClfvbkIvHIU_oHPfX2D8Ang,경인일보,32671856,130000,3251
UC1Osx0NE-alx3P_CQfq1t-w,고나gonnaTV,144,12,4
UC52aFSU8TKBbuW6fnoenjTQ,고니의 놀라운 여행일기,41042,26,130
UC0l9dJxkYoJuSQYISkJ5rEg,고든램지,2480067,1060,1923
UC2_F6_Swz-8fmG1zukI3iWQ,고라니카페 Gorani Cafe,520494,679,37
UCb_ypC-4hIwZkuLub0iFgUA,고명TV,23254,30,84
UCvAXOwCTgOrBw-9Z0zzKQgQ,고미의 리뷰 세상,1759,4,17
UC7WuivbH2Z3YW0-r986uAwQ,고상빈,4355588,4000,2632
UC_aVP9OKBW9qYGI6aqrVdNA,고젤리엉뚱IT,581468,1190,156
UCEw040phvYh40eUlG295UBg,골댕이 베일리,167770,293,100
UCPUkQprVjICrOIQMFpNfhLQ,골드쿠폰,106054,334000,340
UC9efyjz4r3GZa9VAI9xqXWg,곰삼촌은 괜찮단다,300286,395,254
UC5VUav7xqah0DLrGjc4zsYQ,공찬빈파파TV(KPapaTV),241477,1320,272
UCPLeyfrR5s3hrE4pJ80Frag,곽서웅,72329,192,53
UC0q2Wk7Tr21Ed7AuxfWHt3w,광산 김고은,2563,20,14
UCWvmKOi4SOXu9l3LDw4S3aA,광자,196500770,137000,808
UC3I6JijJxil763AQAvilk0Q,광주르,201478,124,352
UC9FNiG45LYQPBKn3cukVGvA,굥아님의 리뷰세상,536274049,283000,1362
UC1k58VwDHMGrJsBU5A2H-Yg,구독할인,45734,26600,48
UC2ZOlQNL91aqtxTAeMrjwbA,구름라떼☁️,279715,746,42
UCWeKft8TCJlBfRs3CzQvVBw,구밍밍,50663,279,320
UCpM8K1c3TMxtslBWV4SxDwA,구비비비,3157063,11400,102
UCDGgUFIUXHY-7trh9xLdtQQ,구움뱅이,42217,41,69
UClxDM6NbTq7x02AUVBQ0l7w,구절미,15930,32,38
UCo0HhpIWf2QkUuZ6g0YBgUg,구찬성,42161126,48400,3800
UC01eHAFN2uDlxgmCRIFgIpg,구친클 9NFCLUB,62650,64,126
UCbZy5LzwNTYgudu_eeGXQrg,구해줘!엄브,629467,2190,947
UCuOIW_o_-eALtW-l5WAIZ_g,군산오빠,725990,4850,233
UCvb7ZmxIAwROEc7IRawSjiQ,굿리치(good rich),6800748,19300,1140
UCkEnornjhXR4l_aK1hPwglg,권덤보 KWONDUMBO,71503,82,20
UCVvJ2k2TzM7hftqZKi3DJ8Q,귀욤이윤,46201,85,196
UC6C2q8vR9Kcm0OfCmKGY3IQ,규빈푸드 GYUBINFOOD,1371907,1010,2532
UCAjuSFqxhOvCstbj3dDeUZg,귤모찌🐒🍊,16729,57,41
UCKRB27s0h7rM66JDXpT7d9A,그냥,149528,343,193
UC_0XbaMXe-2NXWwUxRW1Swg,그냥인모,4513,72,48
UCeLH5El8XH_RemVvh6xa5zw,그럴수이씨,55433,57,48
UCRnbJPV_TgoV15h5WZf1pgA,그리즐리 브로 Grizzly Bro,216261,437,139
UCXcF-LG_5VamnA-6mUXmchA,금왕솥뚜껑부대찌개삼겹살,527063,1120,988
UCRlONfe-movamPwXIzCaXYg,긍깡🐯(김지호),270671,265,201
UCqr3ecnzM4OrKAsvU7SgvQg,김대현,14560,5,131
UC79qcI-YVeO47NvbTZj1z3Q,김똥꼬,2900,6,33
UCO0nVlek3TSOfrns4v-Wlvg,김명숙,509357,995,1312
UCWv-5H1O89EB3oidoyz8-Kw,김민우 차차,160732,449,101
UCJ2OKGZTkJPMwgjWYdO4puA,김민정,150,1,4
UCEm7ShKDa6LsqJGkhr4Kqaw,김빡스씨,106469,590,132
UC5XJ9VtQsgrPNOgaNRtEaYw,김사장의Fun의점,59154,1390,20
UC8DEEKyKcPOuRT5UjnnnG9A,김소비,60192,44,264
UCJwaH9OHzn9gLdygWs4wFUg,김쏘쏘,94092,294,170
UC5SLs_pbcT_u1XMmKvqYPuw,김연콩💫,2080,159,7
UCPlACXqSNNnQoIx7v8hjiwQ,김이,1725,1,1
